number,state,created,closed,component,type,root_cause,severity,affected_release,resolution,confidence,note
28,CLOSED,2026-02-06,2026-02-06,sbom-scanning,feature,n/a,none,no,fixed,high,"Feature request placeholder for full SBOM workflow: generation, storage, scanning, policies, alerts."
51,CLOSED,2026-02-07,2026-02-07,ci-cd-release,feature,n/a,none,no,fixed,high,"Add automated red team security testing suite (Dockerfile, scripts, profiles)."
54,CLOSED,2026-02-07,2026-02-07,storage-cas,defect,upstream-dependency,degraded,yes,fixed,high,"Presigned URL lifetime capped by STS credential TTL; creds fetched once at startup, not refreshed."
65,CLOSED,2026-02-09,2026-02-09,storage-cas,defect,path-normalization,wrong-result,yes,fixed,high,"Promotion staging->local fails 'No such file or directory'; CAS path mismatch during copy."
66,CLOSED,2026-02-09,2026-02-09,rate-limiting,defect,design-gap-other,degraded,yes,fixed,high,"Rate limiter too aggressive, blocks normal admin session after ~40-50 reqs; not per-endpoint-class."
67,CLOSED,2026-02-09,2026-02-09,format-generic,defect,config-error,degraded,yes,fixed,high,"5MB upload returns 413; global Axum body size limit too low vs documented 512MB."
68,CLOSED,2026-02-09,2026-02-09,rate-limiting,defect,auth-logic,wrong-result,yes,fixed,high,"Invalid JWT returns 429 not 401; rate limiter runs before auth in middleware pipeline."
69,CLOSED,2026-02-09,2026-02-09,api-routing,defect,validation-input,security,yes,fixed,high,"Repo key accepts path traversal, SQLi, XSS, null bytes, empty; no allowlist validation."
70,CLOSED,2026-02-09,2026-02-09,api-routing,defect,validation-input,degraded,yes,fixed,high,"300-char repo key returns 500 instead of 400; missing key length validation before DB insert."
71,CLOSED,2026-02-09,2026-02-09,rate-limiting,defect,design-gap-other,degraded,yes,fixed,high,"20 concurrent GET reads mostly 429; global rate bucket not split read-vs-write per-method."
72,CLOSED,2026-02-09,2026-02-09,format-generic,defect,error-handling,wrong-result,yes,fixed,high,"Download endpoint returns empty body but still increments download count; records before streaming."
73,CLOSED,2026-02-09,2026-02-09,api-routing,defect,error-handling,wrong-result,yes,fixed,med,"GET /api/v1/admin/stats returns empty/unparseable response when authed as admin"
77,CLOSED,2026-02-09,2026-02-09,api-routing,chore,n/a,none,no,fixed,high,"Add utoipa OpenAPI annotations to all 288 API handlers"
78,CLOSED,2026-02-09,2026-02-09,ci-cd-release,test,n/a,none,no,fixed,high,"Add CI contract test diffing generated OpenAPI spec against committed spec"
80,CLOSED,2026-02-09,2026-02-09,config-deploy,enhancement,n/a,none,yes,fixed,high,"DB TLS connections crash-loop; SQLx built without TLS support, add it"
85,CLOSED,2026-02-09,2026-02-09,api-routing,defect,config-error,degraded,yes,fixed,high,"502 on upload/token from LAN IP; CORS_ORIGINS lacks private-net origins in dev mode"
93,CLOSED,2026-02-10,2026-02-11,auth-rbac-sso,question,n/a,none,yes,fixed,med,"User cannot login as admin first time despite reading admin.password; support question"
95,CLOSED,2026-02-10,2026-02-10,api-routing,defect,config-error,degraded,yes,fixed,med,"File uploads silently dropped; investigate CORS dev mode and body size limits"
96,CLOSED,2026-02-10,2026-02-10,sbom-scanning,enhancement,n/a,none,yes,fixed,high,"DependencyTrack NVD mirror sync fails; add proxy passthrough and auto-enable NVD API 2.0"
113,CLOSED,2026-02-12,2026-02-12,format-swift-other,feature,n/a,none,no,fixed,high,"Parent feature: Protobuf/Buf Schema Registry format support"
114,CLOSED,2026-02-12,2026-02-12,format-swift-other,feature,n/a,none,no,fixed,high,"Add protobuf database migrations and models"
115,CLOSED,2026-02-12,2026-02-12,format-swift-other,feature,n/a,none,no,fixed,high,"Add protobuf service layer for module management"
116,CLOSED,2026-02-12,2026-02-12,format-swift-other,feature,n/a,none,no,fixed,high,"Implement protobuf format handler with BSR wire protocol"
117,CLOSED,2026-02-12,2026-02-12,format-swift-other,feature,n/a,none,no,fixed,high,"Add protobuf API endpoints and OpenAPI annotations (BSR-compatible)"
118,CLOSED,2026-02-12,2026-02-12,format-swift-other,test,n/a,none,no,fixed,high,"Add E2E tests for protobuf push/pull with buf CLI"
132,CLOSED,2026-02-13,2026-02-13,format-cargo,defect,format-compat,wrong-result,unknown,fixed,high,"parse_crate_filename rsplitn mis-parses pre-release versions with hyphens"
133,CLOSED,2026-02-13,2026-02-13,format-go,defect,validation-input,wrong-result,unknown,fixed,high,"go.rs indirect flag never set; whitespace split tokenizes // and indirect separately"
134,CLOSED,2026-02-13,2026-02-13,auth-rbac-sso,defect,validation-input,wrong-result,unknown,fixed,high,"SAML parse ignores self-closing AuthnStatement; session_index always None"
135,CLOSED,2026-02-13,2026-02-13,sbom-scanning,defect,validation-input,wrong-result,unknown,fixed,high,"Severity counting case-sensitive; 'Critical'/'HIGH' silently counted as info"
136,CLOSED,2026-02-13,2026-02-13,sbom-scanning,defect,validation-input,wrong-result,unknown,fixed,high,"Grade::from_score returns F for scores above 100 due to bounded match range"
137,CLOSED,2026-02-13,2026-02-13,plugins-wasm,defect,validation-input,degraded,unknown,fixed,high,"CapabilitiesConfig::default() all-false disagrees with serde default-true behavior"
140,CLOSED,2026-02-13,2026-02-13,format-maven,defect,validation-input,wrong-result,yes,fixed,high,"Maven snapshot filename rejected; validation expects release prefix not timestamped snapshot"
149,CLOSED,2026-02-14,2026-02-15,proxy-remote,question,n/a,none,no,fixed,med,"User unable to set up pull-through cache; asks if ProxyService implements format caching"
150,CLOSED,2026-02-14,2026-02-15,docs,question,n/a,none,no,fixed,high,"User asks how to responsibly report security findings; no security disclosure process exists"
186,CLOSED,2026-02-16,2026-02-21,ci-cd-release,security-hardening,n/a,none,yes,fixed,high,"Trivy findings in container image; update bundled grype/trivy, add scheduled scans"
188,CLOSED,2026-02-17,2026-03-20,edge-replication,enhancement,n/a,none,unknown,fixed,high,"Scored peer selection built but sync worker never calls it; wire in for source selection"
189,CLOSED,2026-02-17,2026-04-12,edge-replication,enhancement,n/a,none,unknown,fixed,high,"Chunked swarm transfer built but unused; wire into sync worker for large artifacts"
190,CLOSED,2026-02-17,2026-03-08,edge-replication,enhancement,n/a,none,unknown,fixed,high,"mark_stale_offline only called manually; add periodic background job for peer detection"
191,CLOSED,2026-02-17,2026-03-08,edge-replication,enhancement,n/a,none,unknown,fixed,high,"Failed sync tasks never retried; add retry_count/max_retries and reset on peer recovery"
192,CLOSED,2026-02-17,2026-02-19,storage-cas,feature,n/a,none,unknown,fixed,high,"tag_pattern_keep policy validated but no execute fn; add inverse-of-delete execution"
193,CLOSED,2026-02-17,2026-02-19,storage-cas,enhancement,n/a,none,unknown,fixed,high,"Change size_quota lifecycle eviction from FIFO created_at to LRU last_downloaded_at ordering"
194,CLOSED,2026-02-17,2026-02-17,config-deploy,defect,config-error,degraded,yes,fixed,low,"Quickstart with podman compose hangs at starting; also wrong Caddyfile URL in docs"
195,CLOSED,2026-02-17,2026-02-18,ui-web,defect,ui-bug,degraded,yes,fixed,med,"Create token button does nothing; non-admin can also select admin scope option"
200,CLOSED,2026-02-17,2026-02-17,sbom-scanning,security-hardening,upstream-dependency,none,no,fixed,high,"Pin trivy/grype versions in Dockerfile to resolve CVE-2025-68121 and CVE-2026-25934"
202,CLOSED,2026-02-18,2026-02-19,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Request first-tier long-lived CI/API keys not tied to human users, with granular repo scope"
203,CLOSED,2026-02-18,2026-02-18,format-incus,feature,n/a,none,no,fixed,high,"Request support for Incus/lxc containers as artifact type with dependency scanning"
211,CLOSED,2026-02-18,2026-02-19,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Make admin user optional/removable, especially for SSO deployments"
212,CLOSED,2026-02-18,2026-02-19,auth-rbac-sso,enhancement,n/a,none,no,wontfix,high,"Idea to remove username field from User records for SSO-centric orgs"
213,CLOSED,2026-02-18,2026-02-19,auth-rbac-sso,enhancement,n/a,none,no,fixed,high,"Disallow non-SSO/local login on SSO-enabled instances"
217,CLOSED,2026-02-19,2026-02-21,format-incus,enhancement,n/a,none,no,fixed,med,"Request larger artifact size limits for lxc/incus and Docker (10G+ images)"
218,CLOSED,2026-02-19,2026-02-20,storage-cas,enhancement,n/a,none,no,fixed,high,"GC on by default, per-repo settings, async immediate backend delete, min-versions/LTS retention"
235,CLOSED,2026-02-19,2026-02-19,edge-replication,enhancement,n/a,none,no,fixed,high,"Allow selective tag-based filtering on peer replication, reactive to tag changes"
236,CLOSED,2026-02-19,2026-02-19,docs,defect,ui-bug,cosmetic,yes,fixed,high,"Duplicated title on from-artifactory migration docs page"
237,CLOSED,2026-02-19,2026-02-20,storage-cas,defect,config-error,degraded,yes,fixed,med,"S3 config not used, falls back to filesystem; proxy fails to load AWS credentials (related to #245)"
238,CLOSED,2026-02-19,2026-02-20,auth-rbac-sso,defect,config-error,degraded,yes,fixed,low,"OIDC (Keycloak) config not used behind Nginx; SKIP_ADMIN_PROVISIONING also not working"
245,CLOSED,2026-02-19,2026-02-20,storage-cas,defect,design-gap-other,wrong-result,yes,fixed,high,"Format handlers hardcode FilesystemStorage, ignoring STORAGE_BACKEND=s3; uploads go to local fs"
250,CLOSED,2026-02-20,2026-02-20,ci-cd-release,security-hardening,n/a,none,no,fixed,high,"Enforce HTTPS in Dockerfile curl commands (SonarCloud docker:S6506)"
252,CLOSED,2026-02-20,2026-02-21,ci-cd-release,test,n/a,none,no,fixed,high,"Increase new-code coverage to 80% for SonarCloud quality gate"
270,CLOSED,2026-02-21,2026-02-21,config-deploy,defect,config-error,degraded,yes,fixed,med,"dependency_track DB not created on existing postgres volume; init scripts skipped, DT restart loop"
271,CLOSED,2026-02-23,2026-03-07,ci-cd-release,automated-report,n/a,none,no,fixed,high,"Bot-filed weekly container scan: 2 CRITICAL/HIGH backend findings with fixes"
276,CLOSED,2026-02-24,2026-03-08,sbom-scanning,security-hardening,upstream-dependency,none,no,fixed,high,"Weekly scan: 2 CVEs in bundled grype/trivy binaries; low practical risk, await upstream patches"
280,CLOSED,2026-02-25,2026-02-26,ci-cd-release,feature,n/a,none,no,fixed,high,"Request to publish Docker images on Docker Hub in addition to ghcr.io"
282,CLOSED,2026-02-26,2026-02-26,format-terraform-conda,test,n/a,none,no,fixed,high,"Comprehensive conda spec conformance test coverage (.conda v2, repodata fidelity)"
296,CLOSED,2026-02-27,2026-02-28,storage-cas,defect,config-error,wrong-result,yes,fixed,med,"STORAGE_BACKEND=s3 half works; downloads/scans read local filesystem, admin shows filesystem"
297,CLOSED,2026-02-27,2026-02-28,format-maven,defect,error-handling,degraded,yes,fixed,med,"Re-uploading a SNAPSHOT throws 500; INSERT rows_affected=0, likely S3 upload/insert failure"
303,CLOSED,2026-02-28,2026-02-28,format-maven,test,n/a,none,no,fixed,high,"Add E2E tests for Maven SNAPSHOT re-upload and S3 storage scanner resolution"
310,CLOSED,2026-02-28,2026-02-28,storage-cas,enhancement,n/a,none,no,fixed,high,"Add Azure RBAC auth (managed identity, service principal) for Blob Storage instead of only Shared Key"
315,CLOSED,2026-02-28,2026-02-28,format-oci-docker,defect,path-normalization,degraded,yes,fixed,med,"docker login 401 Unauthorized; /v2 catalog returns NAME_UNKNOWN invalid path behind proxy"
